Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)	NeV (V)	NeJ (mA/cm2))
6.080E+0	1.095E-4	2.362E-6	2.737E+0	1.012E+2	3.696E+0	1.909E+0	3.427E+0			3.954E+2	1.468E-6		
6.320E+0	1.285E-4	2.829E-6	3.212E+0	1.212E+2	3.774E+0	1.875E+0	3.499E+0			3.958E+2	1.468E-6		
6.560E+0	1.500E-4	3.367E-6	3.750E+0	1.443E+2	3.847E+0	1.841E+0	3.566E+0			3.961E+2	8.810E-6		
6.800E+0	1.743E-4	3.985E-6	4.358E+0	1.707E+2	3.917E+0	1.809E+0	3.632E+0			3.965E+2	1.175E-5		
7.040E+0	2.017E-4	4.688E-6	5.044E+0	2.008E+2	3.982E+0	1.776E+0	3.691E+0			3.969E+2	1.077E-5		
7.280E+0	2.327E-4	5.485E-6	5.818E+0	2.350E+2	4.039E+0	1.742E+0	3.744E+0			3.972E+2	2.692E-5		
7.520E+0	2.675E-4	6.385E-6	6.687E+0	2.735E+2	4.091E+0	1.708E+0	3.792E+0			3.976E+2	6.363E-6		
7.760E+0	3.065E-4	7.394E-6	7.663E+0	3.168E+2	4.133E+0	1.673E+0	3.832E+0			3.980E+2	1.517E-5		
8.000E+0	3.505E-4	8.521E-6	8.762E+0	3.650E+2	4.166E+0	1.635E+0	3.862E+0			3.983E+2	1.077E-5		
										3.987E+2	4.406E-6		
										3.990E+2	5.874E-6		
										3.994E+2	7.342E-6		
										3.998E+2	1.957E-6		
										4.001E+2	1.175E-5		
										4.005E+2	8.321E-6		
										4.009E+2	6.853E-6		
										4.012E+2	4.895E-6		
										4.016E+2	2.105E-5		
										4.020E+2	9.300E-6		
										4.023E+2	3.425E-6		
										4.027E+2	1.909E-5		
										4.030E+2	0.000E+0		
										4.034E+2	1.028E-5		
										4.038E+2	1.517E-5		
										4.041E+2	2.252E-5		
										4.045E+2	1.860E-5		
										4.049E+2	4.893E-7		
										4.052E+2	9.300E-6		
										4.056E+2	4.406E-6		
										4.059E+2	1.224E-5		
										4.063E+2	8.810E-6		
										4.067E+2	1.468E-6		
										4.070E+2	4.895E-6		
										4.074E+2	9.787E-7		
										4.077E+2	2.105E-5		
										4.081E+2	7.831E-6		
										4.085E+2	9.300E-6		
										4.088E+2	7.342E-6		
										4.092E+2	0.000E+0		
										4.095E+2	7.831E-6		
										4.099E+2	7.831E-6		
										4.103E+2	3.915E-6		
										4.106E+2	0.000E+0		
										4.110E+2	3.915E-6		
										4.114E+2	1.517E-5		
										4.117E+2	3.425E-6		
										4.121E+2	1.126E-5		
										4.125E+2	2.936E-6		
										4.128E+2	7.831E-6		
										4.132E+2	1.713E-5		
										4.135E+2	2.741E-5		
										4.139E+2	0.000E+0		
										4.142E+2	3.279E-5		
										4.146E+2	3.425E-6		
										4.150E+2	9.787E-7		
										4.153E+2	9.787E-7		
										4.157E+2	7.342E-6		
										4.161E+2	1.566E-5		
										4.164E+2	0.000E+0		
										4.168E+2	3.573E-5		
										4.171E+2	2.936E-6		
										4.175E+2	5.874E-6		
										4.179E+2	9.787E-7		
										4.182E+2	6.853E-6		
										4.186E+2	6.853E-6		
										4.189E+2	1.224E-5		
										4.193E+2	2.301E-5		
										4.197E+2	1.762E-5		
										4.200E+2	1.175E-5		
										4.204E+2	1.175E-5		
										4.208E+2	6.853E-6		
										4.211E+2	4.893E-7		
										4.215E+2	9.787E-7		
										4.218E+2	1.126E-5		
										4.222E+2	4.406E-6		
										4.225E+2	7.342E-6		
										4.229E+2	1.224E-5		
										4.233E+2	1.615E-5		
										4.236E+2	4.895E-6		
										4.240E+2	1.371E-5		
										4.244E+2	6.363E-6		
										4.247E+2	1.713E-5		
										4.251E+2	2.447E-6		
										4.254E+2	1.224E-5		
										4.258E+2	8.321E-6		
										4.261E+2	1.957E-6		
										4.265E+2	1.322E-5		
										4.269E+2	4.895E-6		
										4.272E+2	9.787E-7		
										4.276E+2	1.957E-6		
										4.280E+2	1.615E-5		
										4.283E+2	1.175E-5		
										4.287E+2	3.915E-6		
										4.290E+2	1.811E-5		
										4.294E+2	1.468E-5		
										4.298E+2	3.133E-5		
										4.301E+2	1.419E-5		
										4.305E+2	6.853E-6		
										4.308E+2	4.895E-6		
										4.312E+2	4.406E-6		
										4.315E+2	1.566E-5		
										4.319E+2	1.028E-5		
										4.323E+2	1.126E-5		
										4.326E+2	7.342E-6		
										4.330E+2	1.224E-5		
										4.333E+2	2.203E-5		
										4.337E+2	7.831E-6		
										4.341E+2	2.545E-5		
										4.344E+2	1.468E-6		
										4.348E+2	4.893E-7		
										4.351E+2	2.447E-6		
										4.355E+2	1.028E-5		
										4.359E+2	8.810E-6		
										4.362E+2	4.895E-6		
										4.366E+2	1.566E-5		
										4.369E+2	2.936E-6		
										4.373E+2	9.300E-6		
										4.376E+2	1.028E-5		
										4.380E+2	1.713E-5		
										4.384E+2	1.517E-5		
										4.387E+2	9.787E-7		
										4.391E+2	5.385E-6		
										4.394E+2	4.895E-6		
										4.398E+2	6.853E-6		
										4.402E+2	6.363E-6		
										4.405E+2	1.126E-5		
										4.409E+2	1.028E-5		
										4.412E+2	9.789E-6		
										4.416E+2	2.154E-5		
										4.420E+2	2.301E-5		
										4.423E+2	2.349E-5		
										4.427E+2	2.252E-5		
										4.430E+2	1.958E-5		
										4.434E+2	1.371E-5		
										4.437E+2	7.342E-6		
										4.441E+2	3.084E-5		
										4.445E+2	1.028E-5		
										4.448E+2	1.566E-5		
										4.452E+2	2.790E-5		
										4.455E+2	1.615E-5		
										4.459E+2	4.406E-6		
										4.462E+2	2.007E-5		
										4.466E+2	2.447E-5		
										4.470E+2	3.965E-5		
										4.473E+2	2.252E-5		
										4.477E+2	1.713E-5		
										4.480E+2	2.252E-5		
										4.484E+2	3.328E-5		
										4.488E+2	4.258E-5		
										4.491E+2	3.035E-5		
										4.495E+2	3.035E-5		
										4.498E+2	4.748E-5		
										4.502E+2	3.524E-5		
										4.505E+2	3.818E-5		
										4.509E+2	1.175E-5		
										4.512E+2	3.475E-5		
										4.516E+2	2.839E-5		
										4.520E+2	2.594E-5		
										4.523E+2	3.818E-5		
										4.527E+2	7.831E-6		
										4.530E+2	2.692E-5		
										4.534E+2	2.447E-5		
										4.538E+2	2.007E-5		
										4.541E+2	3.475E-5		
										4.545E+2	1.468E-5		
										4.548E+2	3.133E-5		
										4.552E+2	3.475E-5		
										4.555E+2	1.517E-5		
										4.559E+2	2.496E-5		
										4.562E+2	3.279E-5		
										4.566E+2	3.867E-5		
										4.570E+2	2.692E-5		
										4.573E+2	1.126E-5		
										4.577E+2	1.713E-5		
										4.580E+2	3.573E-5		
										4.584E+2	1.811E-5		
										4.588E+2	4.699E-5		
										4.591E+2	2.643E-5		
										4.595E+2	1.419E-5		
										4.598E+2	1.664E-5		
										4.602E+2	1.909E-5		
										4.605E+2	3.377E-5		
										4.609E+2	9.789E-6		
										4.612E+2	7.342E-6		
										4.616E+2	1.273E-5		
										4.620E+2	2.056E-5		
										4.623E+2	3.084E-5		
										4.627E+2	9.789E-6		
										4.630E+2	2.203E-5		
										4.634E+2	1.811E-5		
										4.637E+2	3.915E-6		
										4.641E+2	2.839E-5		
										4.645E+2	4.895E-6		
										4.648E+2	1.909E-5		
										4.652E+2	2.398E-5		
										4.655E+2	3.328E-5		
										4.659E+2	1.468E-5		
										4.662E+2	2.056E-5		
										4.666E+2	2.007E-5		
										4.669E+2	2.937E-5		
										4.673E+2	4.895E-6		
										4.676E+2	1.909E-5		
										4.680E+2	1.468E-6		
										4.684E+2	2.643E-5		
										4.687E+2	1.028E-5		
										4.691E+2	3.622E-5		
										4.694E+2	2.447E-5		
										4.698E+2	2.888E-5		
										4.701E+2	1.860E-5		
										4.705E+2	1.126E-5		
										4.709E+2	9.787E-7		
										4.712E+2	1.272E-5		
										4.716E+2	1.615E-5		
										4.719E+2	3.573E-5		
										4.723E+2	2.447E-5		
										4.726E+2	2.203E-5		
										4.730E+2	1.958E-5		
										4.733E+2	2.545E-5		
										4.737E+2	1.958E-5		
										4.740E+2	1.371E-5		
										4.744E+2	1.322E-5		
										4.748E+2	6.363E-6		
										4.751E+2	1.371E-5		
										4.755E+2	2.790E-5		
										4.758E+2	1.957E-6		
										4.762E+2	7.342E-6		
										4.765E+2	1.419E-5		
										4.769E+2	1.371E-5		
										4.772E+2	1.224E-5		
										4.776E+2	4.893E-7		
										4.779E+2	6.363E-6		
										4.783E+2	2.105E-5		
										4.786E+2	2.154E-5		
										4.790E+2	1.175E-5		
										4.794E+2	3.182E-5		
										4.797E+2	9.789E-6		
										4.801E+2	1.419E-5		
										4.804E+2	7.342E-6		
										4.808E+2	1.566E-5		
										4.811E+2	1.517E-5		
										4.815E+2	2.594E-5		
										4.818E+2	1.126E-5		
										4.822E+2	2.643E-5		
										4.825E+2	1.077E-5		
										4.829E+2	2.936E-6		
										4.832E+2	1.126E-5		
										4.836E+2	9.789E-6		
										4.840E+2	2.447E-5		
										4.843E+2	2.496E-5		
										4.847E+2	1.028E-5		
										4.850E+2	2.936E-6		
										4.854E+2	4.748E-5		
										4.857E+2	1.909E-5		
										4.861E+2	5.874E-6		
										4.864E+2	2.056E-5		
										4.868E+2	1.566E-5		
										4.871E+2	1.664E-5		
										4.875E+2	3.182E-5		
										4.878E+2	3.328E-5		
										4.882E+2	4.895E-6		
										4.885E+2	4.893E-7		
										4.889E+2	2.398E-5		
										4.893E+2	4.893E-7		
										4.896E+2	3.915E-6		
