Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)	NeV (V)	NeJ (mA/cm2))
-4.000E+0	1.644E-4	6.084E-9	4.111E+0	3.418E-1	8.316E-3	-6.528E-3	5.974E-3	6.607E-1	3.212E-1	3.801E+2	2.730E-6	-4.000E+0	
-3.760E+0	1.425E-4	6.163E-9	3.561E+0	3.463E-1	9.723E-3	-8.120E-3	6.985E-3			3.805E+2	1.819E-6		
-3.520E+0	1.172E-4	6.129E-9	2.931E+0	3.444E-1	1.175E-2	-1.048E-2	8.442E-3			3.809E+2	2.426E-6		
-3.280E+0	9.760E-5	6.183E-9	2.440E+0	3.474E-1	1.424E-2	-1.363E-2	1.023E-2			3.812E+2	1.819E-6		
-3.040E+0	7.964E-5	6.218E-9	1.991E+0	3.494E-1	1.755E-2	-1.813E-2	1.261E-2			3.816E+2	1.365E-5		
-2.800E+0	6.389E-5	6.257E-9	1.597E+0	3.516E-1	2.201E-2	-2.468E-2	1.581E-2			3.820E+2	1.304E-5		
-2.560E+0	5.041E-5	6.213E-9	1.260E+0	3.491E-1	2.770E-2	-3.398E-2	1.990E-2			3.823E+2	6.672E-6		
-2.320E+0	3.794E-5	6.188E-9	9.485E-1	3.477E-1	3.665E-2	-4.961E-2	2.633E-2			3.827E+2	4.549E-6		
-2.080E+0	2.882E-5	6.182E-9	7.205E-1	3.474E-1	4.821E-2	-7.278E-2	3.463E-2			3.830E+2	6.672E-6		
-1.840E+0	2.141E-5	6.118E-9	5.353E-1	3.438E-1	6.422E-2	-1.096E-1	4.614E-2			3.834E+2	3.336E-6		
-1.600E+0	1.529E-5	6.023E-9	3.822E-1	3.384E-1	8.852E-2	-1.737E-1	6.360E-2			3.838E+2	1.577E-5		
-1.360E+0	1.073E-5	5.875E-9	2.683E-1	3.301E-1	1.230E-1	-2.840E-1	8.837E-2			3.841E+2	2.122E-6		
-1.120E+0	7.143E-6	5.640E-9	1.786E-1	3.169E-1	1.775E-1	-4.975E-1	1.275E-1			3.845E+2	3.033E-6		
-8.800E-1	4.597E-6	5.720E-9	1.149E-1	3.214E-1	2.796E-1	-9.976E-1	2.009E-1			3.849E+2	2.730E-6		
-6.400E-1	2.812E-6	5.782E-9	7.031E-2	3.249E-1	4.620E-1	-2.267E+0	3.319E-1			3.852E+2	5.459E-6		
-4.000E-1	1.474E-6	5.775E-9	3.686E-2	3.244E-1	8.803E-1	-6.911E+0	6.325E-1			3.856E+2	1.365E-5		
-1.600E-1	5.204E-7	5.718E-9	1.301E-2	3.213E-1	2.469E+0	-4.846E+1	1.774E+0			3.860E+2	5.156E-6		
8.000E-2	2.445E-7	5.752E-9	6.112E-3	3.232E-1	5.288E+0	2.075E+2	3.799E+0			3.863E+2	1.456E-5		
3.200E-1	1.144E-6	5.764E-9	2.859E-2	3.239E-1	1.133E+0	1.112E+1	8.138E-1			3.867E+2	2.730E-6		
5.600E-1	2.254E-6	5.823E-9	5.635E-2	3.272E-1	5.806E-1	3.255E+0	4.171E-1			3.870E+2	0.000E+0		
8.000E-1	3.822E-6	5.718E-9	9.554E-2	3.213E-1	3.362E-1	1.320E+0	2.416E-1			3.874E+2	4.246E-6		
1.040E+0	6.236E-6	5.707E-9	1.559E-1	3.206E-1	2.057E-1	6.210E-1	1.478E-1			3.878E+2	1.941E-5		
1.280E+0	9.741E-6	5.677E-9	2.435E-1	3.190E-1	1.310E-1	3.213E-1	9.409E-2			3.881E+2	6.975E-6		
1.520E+0	1.347E-5	5.610E-9	3.368E-1	3.152E-1	9.358E-2	1.933E-1	6.723E-2			3.885E+2	2.426E-6		
1.760E+0	2.111E-5	5.768E-9	5.279E-1	3.241E-1	6.139E-2	1.095E-1	4.411E-2			3.889E+2	3.032E-7		
2.000E+0	1.026E-4	1.290E-8	2.566E+0	7.248E-1	2.824E-2	4.434E-2	2.029E-2			3.892E+2	9.705E-6		
2.240E+0	9.067E-4	1.048E-7	2.267E+1	5.890E+0	2.599E-2	3.643E-2	1.867E-2			3.896E+2	8.492E-6		
2.480E+0	2.567E-3	3.018E-7	6.416E+1	1.696E+1	2.643E-2	3.346E-2	1.898E-2			3.900E+2	1.213E-6		
2.720E+0	4.678E-3	5.383E-7	1.170E+2	3.024E+1	2.586E-2	2.985E-2	1.858E-2			3.903E+2	3.033E-6		
2.960E+0	7.090E-3	7.943E-7	1.773E+2	4.463E+1	2.518E-2	2.671E-2	1.809E-2			3.907E+2	8.189E-6		
3.200E+0	9.735E-3	1.061E-6	2.434E+2	5.960E+1	2.449E-2	2.403E-2	1.759E-2			3.911E+2	7.581E-6		
3.440E+0	1.256E-2	1.333E-6	3.140E+2	7.487E+1	2.385E-2	2.177E-2	1.713E-2			3.914E+2	8.492E-6		
3.680E+0	1.554E-2	1.609E-6	3.884E+2	9.039E+1	2.328E-2	1.986E-2	1.672E-2			3.918E+2	1.819E-6		
3.920E+0	1.864E-2	1.888E-6	4.660E+2	1.061E+2	2.276E-2	1.823E-2	1.635E-2			3.921E+2	2.032E-5		
