Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)	NeV (V)	NeJ (mA/cm2))
-4.000E+0	4.810E-7	9.213E-10	1.202E-2	4.471E-2	3.718E-1	-2.919E-1	3.059E-1	6.883E-1	3.080E-1	3.801E+2	6.310E-6	-4.000E+0	
-3.760E+0	5.589E-7	8.059E-10	1.397E-2	3.911E-2	2.799E-1	-2.337E-1	2.303E-1			3.805E+2	3.269E-5		
-3.520E+0	4.432E-7	9.225E-10	1.108E-2	4.477E-2	4.040E-1	-3.604E-1	3.324E-1			3.809E+2	2.867E-6		
-3.280E+0	3.137E-7	9.027E-10	7.843E-3	4.380E-2	5.585E-1	-5.347E-1	4.595E-1			3.812E+2	6.884E-6		
-3.040E+0	2.263E-7	8.551E-10	5.658E-3	4.149E-2	7.334E-1	-7.575E-1	6.034E-1			3.816E+2	5.163E-6		
-2.800E+0	1.787E-7	8.300E-10	4.466E-3	4.028E-2	9.018E-1	-1.011E+0	7.420E-1			3.820E+2	9.178E-6		
-2.560E+0	1.421E-7	8.278E-10	3.551E-3	4.017E-2	1.131E+0	-1.387E+0	9.306E-1			3.823E+2	1.147E-5		
-2.320E+0	1.122E-7	8.200E-10	2.805E-3	3.979E-2	1.418E+0	-1.920E+0	1.167E+0			3.827E+2	1.836E-5		
-2.080E+0	8.691E-8	8.809E-10	2.173E-3	4.275E-2	1.967E+0	-2.970E+0	1.619E+0			3.830E+2	1.319E-5		
-1.840E+0	6.489E-8	8.482E-10	1.622E-3	4.116E-2	2.537E+0	-4.330E+0	2.087E+0			3.834E+2	1.147E-5		
-1.600E+0	4.748E-8	8.362E-10	1.187E-3	4.058E-2	3.419E+0	-6.709E+0	2.813E+0			3.838E+2	2.867E-6		
-1.360E+0	3.342E-8	8.446E-10	8.356E-4	4.099E-2	4.905E+0	-1.132E+1	4.036E+0			3.841E+2	5.735E-7		
-1.120E+0	2.256E-8	8.365E-10	5.641E-4	4.059E-2	7.196E+0	-2.017E+1	5.921E+0			3.845E+2	1.664E-5		
-8.800E-1	1.384E-8	9.499E-10	3.459E-4	4.609E-2	1.332E+1	-4.755E+1	1.096E+1			3.849E+2	1.319E-5		
-6.400E-1	7.052E-9	8.468E-10	1.763E-4	4.109E-2	2.331E+1	-1.144E+2	1.918E+1			3.852E+2	9.178E-6		
-4.000E-1	2.043E-9	8.348E-10	5.108E-5	4.051E-2	7.930E+1	-6.225E+2	6.525E+1			3.856E+2	4.014E-6		
-1.600E-1	1.893E-9	8.345E-10	4.734E-5	4.049E-2	8.554E+1	-1.679E+3	7.038E+1			3.860E+2	1.664E-5		
8.000E-2	5.331E-9	9.144E-10	1.333E-4	4.437E-2	3.329E+1	1.307E+3	2.739E+1			3.863E+2	2.696E-5		
3.200E-1	8.447E-9	9.298E-10	2.112E-4	4.512E-2	2.137E+1	2.097E+2	1.758E+1			3.867E+2	9.178E-6		
5.600E-1	1.280E-8	8.558E-10	3.201E-4	4.153E-2	1.297E+1	7.274E+1	1.067E+1			3.870E+2	2.294E-6		
8.000E-1	1.825E-8	9.319E-10	4.561E-4	4.522E-2	9.914E+0	3.891E+1	8.157E+0			3.874E+2	1.893E-5		
1.040E+0	2.491E-8	8.461E-10	6.229E-4	4.106E-2	6.592E+0	1.990E+1	5.423E+0			3.878E+2	1.032E-5		
1.280E+0	3.345E-8	8.891E-10	8.363E-4	4.315E-2	5.159E+0	1.266E+1	4.245E+0			3.881E+2	2.294E-6		
1.520E+0	4.492E-8	9.037E-10	1.123E-3	4.385E-2	3.905E+0	8.067E+0	3.213E+0			3.885E+2	1.606E-5		
1.760E+0	1.313E-7	4.486E-9	3.283E-3	2.177E-1	6.632E+0	1.183E+1	5.457E+0			3.889E+2	2.294E-5		
2.000E+0	5.943E-6	3.384E-7	1.486E-1	1.642E+1	1.105E+1	1.735E+1	9.092E+0			3.892E+2	0.000E+0		
2.240E+0	1.332E-4	8.728E-6	3.329E+0	4.235E+2	1.272E+1	1.783E+1	1.047E+1			3.896E+2	1.319E-5		
2.480E+0	5.808E-4	4.106E-5	1.452E+1	1.992E+3	1.372E+1	1.737E+1	1.129E+1			3.900E+2	4.588E-6		
2.720E+0	1.291E-3	9.368E-5	3.227E+1	4.546E+3	1.409E+1	1.626E+1	1.159E+1			3.903E+2	1.778E-5		
2.960E+0	2.175E-3	1.593E-4	5.438E+1	7.731E+3	1.422E+1	1.508E+1	1.170E+1			3.907E+2	1.147E-6		
3.200E+0	3.186E-3	2.336E-4	7.966E+1	1.134E+4	1.423E+1	1.397E+1	1.171E+1			3.911E+2	2.065E-5		
3.440E+0	4.307E-3	3.141E-4	1.077E+2	1.524E+4	1.416E+1	1.292E+1	1.165E+1			3.914E+2	7.457E-6		
3.680E+0	5.524E-3	3.989E-4	1.381E+2	1.936E+4	1.402E+1	1.196E+1	1.153E+1			3.918E+2	3.441E-6		
3.920E+0	6.833E-3	4.878E-4	1.708E+2	2.367E+4	1.386E+1	1.110E+1	1.140E+1			3.921E+2	1.893E-5		
4.160E+0	8.228E-3	5.781E-4	2.057E+2	2.805E+4	1.364E+1	1.029E+1	1.122E+1			3.925E+2	1.147E-5		
4.400E+0	9.709E-3	6.713E-4	2.427E+2	3.258E+4	1.342E+1	9.577E+0	1.104E+1			3.929E+2	9.751E-6		
4.640E+0	1.127E-2	7.653E-4	2.818E+2	3.714E+4	1.318E+1	8.918E+0	1.084E+1			3.932E+2	2.294E-6		
4.880E+0	1.290E-2	8.598E-4	3.226E+2	4.172E+4	1.293E+1	8.323E+0	1.064E+1			3.936E+2	1.549E-5		
5.120E+0	1.461E-2	9.571E-4	3.653E+2	4.644E+4	1.271E+1	7.796E+0	1.046E+1			3.940E+2	1.778E-5		
5.360E+0	1.641E-2	1.055E-3	4.102E+2	5.118E+4	1.248E+1	7.311E+0	1.027E+1			3.943E+2	9.751E-6		
5.600E+0	1.825E-2	1.153E-3	4.562E+2	5.596E+4	1.226E+1	6.877E+0	1.009E+1			3.947E+2	2.524E-5		
5.840E+0	2.017E-2	1.252E-3	5.043E+2	6.075E+4	1.205E+1	6.477E+0	9.912E+0			3.950E+2	4.130E-5		
6.080E+0	2.215E-2	1.352E-3	5.537E+2	6.558E+4	1.184E+1	6.117E+0	9.745E+0			3.954E+2	4.014E-6		
6.320E+0	2.419E-2	1.451E-3	6.048E+2	7.040E+4	1.164E+1	5.783E+0	9.577E+0			3.958E+2	2.237E-5		
6.560E+0	2.629E-2	1.552E-3	6.572E+2	7.532E+4	1.146E+1	5.486E+0	9.429E+0			3.961E+2	2.065E-5		
6.800E+0	2.844E-2	1.653E-3	7.109E+2	8.023E+4	1.129E+1	5.212E+0	9.286E+0			3.965E+2	1.032E-5		
7.040E+0	3.064E-2	1.755E-3	7.659E+2	8.516E+4	1.112E+1	4.959E+0	9.148E+0			3.969E+2	1.032E-5		
7.280E+0	3.291E-2	1.857E-3	8.227E+2	9.011E+4	1.095E+1	4.724E+0	9.011E+0			3.972E+2	2.867E-6		
7.520E+0	3.523E-2	1.959E-3	8.807E+2	9.507E+4	1.080E+1	4.508E+0	8.882E+0			3.976E+2	5.737E-6		
7.760E+0	3.759E-2	2.064E-3	9.397E+2	1.002E+5	1.066E+1	4.313E+0	8.769E+0			3.980E+2	1.377E-5		
8.000E+0	4.008E-2	2.173E-3	1.002E+3	1.054E+5	1.052E+1	4.130E+0	8.657E+0			3.983E+2	1.606E-5		
										3.987E+2	2.639E-5		
										3.990E+2	1.377E-5		
										3.994E+2	9.751E-6		
										3.998E+2	2.639E-5		
										4.001E+2	2.409E-5		
										4.005E+2	1.721E-5		
										4.009E+2	5.737E-6		
										4.012E+2	1.720E-6		
										4.016E+2	1.147E-6		
										4.020E+2	1.720E-6		
										4.023E+2	5.163E-6		
										4.027E+2	8.604E-6		
										4.030E+2	5.737E-6		
										4.034E+2	4.014E-6		
										4.038E+2	9.178E-6		
										4.041E+2	1.549E-5		
										4.045E+2	1.491E-5		
										4.049E+2	1.664E-5		
										4.052E+2	4.014E-6		
										4.056E+2	6.310E-6		
										4.059E+2	3.441E-6		
										4.063E+2	7.457E-6		
										4.067E+2	1.319E-5		
										4.070E+2	1.147E-6		
										4.074E+2	1.205E-5		
										4.077E+2	2.409E-5		
										4.081E+2	1.950E-5		
										4.085E+2	1.205E-5		
										4.088E+2	2.294E-6		
										4.092E+2	6.310E-6		
										4.095E+2	1.664E-5		
										4.099E+2	1.147E-6		
										4.103E+2	1.664E-5		
										4.106E+2	5.737E-6		
										4.110E+2	9.751E-6		
										4.114E+2	1.319E-5		
										4.117E+2	4.588E-6		
										4.121E+2	5.737E-6		
										4.125E+2	2.352E-5		
										4.128E+2	7.457E-6		
										4.132E+2	6.884E-6		
										4.135E+2	6.310E-6		
										4.139E+2	9.178E-6		
										4.142E+2	2.696E-5		
										4.146E+2	2.581E-5		
										4.150E+2	4.588E-6		
										4.153E+2	1.147E-6		
										4.157E+2	4.014E-6		
										4.161E+2	1.032E-5		
										4.164E+2	2.581E-5		
										4.168E+2	4.588E-6		
										4.171E+2	5.735E-7		
										4.175E+2	5.735E-7		
										4.179E+2	1.434E-5		
										4.182E+2	2.065E-5		
										4.186E+2	1.491E-5		
										4.189E+2	1.147E-6		
										4.193E+2	1.664E-5		
										4.197E+2	2.409E-5		
										4.200E+2	9.178E-6		
										4.204E+2	1.090E-5		
										4.208E+2	1.205E-5		
										4.211E+2	3.155E-5		
										4.215E+2	3.441E-6		
										4.218E+2	1.262E-5		
										4.222E+2	1.950E-5		
										4.225E+2	1.491E-5		
										4.229E+2	5.737E-6		
										4.233E+2	1.491E-5		
										4.236E+2	9.178E-6		
										4.240E+2	5.735E-7		
										4.244E+2	8.031E-6		
										4.247E+2	4.588E-6		
										4.251E+2	6.310E-6		
										4.254E+2	8.031E-6		
										4.258E+2	1.721E-5		
										4.261E+2	3.958E-5		
										4.265E+2	6.884E-6		
										4.269E+2	3.441E-6		
										4.272E+2	1.950E-5		
										4.276E+2	7.457E-6		
										4.280E+2	1.491E-5		
										4.283E+2	1.778E-5		
										4.287E+2	2.122E-5		
										4.290E+2	1.720E-6		
										4.294E+2	8.604E-6		
										4.298E+2	3.441E-6		
										4.301E+2	5.737E-6		
										4.305E+2	5.737E-6		
										4.308E+2	2.294E-6		
										4.312E+2	3.441E-6		
										4.315E+2	2.352E-5		
										4.319E+2	1.319E-5		
										4.323E+2	1.549E-5		
										4.326E+2	1.319E-5		
										4.330E+2	8.031E-6		
										4.333E+2	2.753E-5		
										4.337E+2	4.014E-6		
										4.341E+2	5.735E-7		
										4.344E+2	5.163E-6		
										4.348E+2	1.147E-5		
										4.351E+2	8.031E-6		
										4.355E+2	6.884E-6		
										4.359E+2	7.457E-6		
										4.362E+2	1.549E-5		
										4.366E+2	5.735E-7		
										4.369E+2	8.031E-6		
										4.373E+2	1.720E-6		
										4.376E+2	2.524E-5		
										4.380E+2	1.836E-5		
										4.384E+2	2.294E-6		
										4.387E+2	1.720E-6		
										4.391E+2	3.441E-6		
										4.394E+2	1.147E-5		
										4.398E+2	2.696E-5		
										4.402E+2	6.310E-6		
										4.405E+2	6.884E-6		
										4.409E+2	9.751E-6		
										4.412E+2	1.549E-5		
										4.416E+2	6.884E-6		
										4.420E+2	1.721E-5		
										4.423E+2	1.664E-5		
										4.427E+2	2.811E-5		
										4.430E+2	6.310E-6		
										4.434E+2	4.588E-6		
										4.437E+2	0.000E+0		
										4.441E+2	2.867E-6		
										4.445E+2	8.604E-6		
										4.448E+2	2.753E-5		
										4.452E+2	2.180E-5		
										4.455E+2	2.867E-6		
										4.459E+2	1.090E-5		
										4.462E+2	6.884E-6		
										4.466E+2	2.867E-6		
										4.470E+2	1.090E-5		
										4.473E+2	5.737E-6		
										4.477E+2	1.032E-5		
										4.480E+2	2.581E-5		
										4.484E+2	8.031E-6		
										4.488E+2	4.588E-6		
										4.491E+2	3.441E-6		
										4.495E+2	1.319E-5		
										4.498E+2	4.588E-6		
										4.502E+2	4.588E-6		
										4.505E+2	1.032E-5		
										4.509E+2	5.735E-7		
										4.512E+2	1.893E-5		
										4.516E+2	2.122E-5		
										4.520E+2	4.588E-6		
										4.523E+2	3.327E-5		
										4.527E+2	3.441E-6		
										4.530E+2	1.090E-5		
										4.534E+2	8.031E-6		
										4.538E+2	1.319E-5		
										4.541E+2	1.491E-5		
										4.545E+2	2.008E-5		
										4.548E+2	1.090E-5		
										4.552E+2	1.893E-5		
										4.555E+2	9.751E-6		
										4.559E+2	1.606E-5		
										4.562E+2	1.090E-5		
										4.566E+2	1.205E-5		
										4.570E+2	1.549E-5		
										4.573E+2	1.319E-5		
										4.577E+2	8.604E-6		
										4.580E+2	9.751E-6		
										4.584E+2	1.090E-5		
										4.588E+2	1.836E-5		
										4.591E+2	1.147E-5		
										4.595E+2	2.581E-5		
										4.598E+2	8.031E-6		
										4.602E+2	2.524E-5		
										4.605E+2	9.178E-6		
										4.609E+2	1.147E-5		
										4.612E+2	0.000E+0		
										4.616E+2	9.751E-6		
										4.620E+2	2.867E-6		
										4.623E+2	1.205E-5		
										4.627E+2	2.867E-6		
										4.630E+2	9.751E-6		
										4.634E+2	2.925E-5		
										4.637E+2	2.983E-5		
										4.641E+2	1.032E-5		
										4.645E+2	1.147E-6		
										4.648E+2	4.588E-6		
										4.652E+2	1.147E-6		
										4.655E+2	2.294E-6		
										4.659E+2	1.205E-5		
										4.662E+2	7.457E-6		
										4.666E+2	9.178E-6		
										4.669E+2	5.735E-7		
										4.673E+2	1.032E-5		
										4.676E+2	9.751E-6		
										4.680E+2	4.588E-6		
										4.684E+2	3.441E-6		
										4.687E+2	1.664E-5		
										4.691E+2	5.163E-6		
										4.694E+2	1.262E-5		
										4.698E+2	2.294E-5		
										4.701E+2	1.664E-5		
										4.705E+2	5.735E-7		
										4.709E+2	2.180E-5		
										4.712E+2	2.867E-6		
										4.716E+2	2.867E-6		
										4.719E+2	4.588E-6		
										4.723E+2	1.147E-6		
										4.726E+2	4.588E-6		
										4.730E+2	2.352E-5		
										4.733E+2	3.441E-6		
										4.737E+2	2.867E-6		
										4.740E+2	8.031E-6		
										4.744E+2	8.604E-6		
										4.748E+2	4.588E-6		
										4.751E+2	7.457E-6		
										4.755E+2	2.524E-5		
										4.758E+2	8.604E-6		
										4.762E+2	4.588E-6		
										4.765E+2	1.319E-5		
										4.769E+2	7.457E-6		
										4.772E+2	1.147E-5		
										4.776E+2	1.950E-5		
										4.779E+2	2.122E-5		
										4.783E+2	9.751E-6		
										4.786E+2	5.737E-6		
										4.790E+2	1.377E-5		
										4.794E+2	2.811E-5		
										4.797E+2	1.836E-5		
										4.801E+2	9.751E-6		
										4.804E+2	1.664E-5		
										4.808E+2	1.262E-5		
										4.811E+2	6.310E-6		
										4.815E+2	8.031E-6		
										4.818E+2	2.409E-5		
										4.822E+2	2.180E-5		
										4.825E+2	2.122E-5		
										4.829E+2	1.377E-5		
										4.832E+2	1.606E-5		
										4.836E+2	3.441E-6		
										4.840E+2	7.457E-6		
										4.843E+2	3.040E-5		
										4.847E+2	1.147E-6		
										4.850E+2	4.014E-6		
										4.854E+2	2.867E-6		
										4.857E+2	1.147E-6		
										4.861E+2	2.065E-5		
										4.864E+2	5.735E-7		
										4.868E+2	3.441E-6		
										4.871E+2	2.294E-6		
										4.875E+2	1.147E-6		
										4.878E+2	1.893E-5		
										4.882E+2	1.090E-5		
										4.885E+2	1.836E-5		
										4.889E+2	5.737E-6		
										4.893E+2	1.205E-5		
										4.896E+2	5.163E-6		
										4.900E+2	1.319E-5		
										4.903E+2	1.606E-5		
										4.907E+2	3.155E-5		
										4.910E+2	5.163E-6		
										4.914E+2	7.457E-6		
										4.917E+2	1.032E-5		
										4.921E+2	2.983E-5		
										4.924E+2	1.778E-5		
										4.928E+2	1.893E-5		
										4.931E+2	1.377E-5		
										4.935E+2	5.163E-6		
										4.938E+2	3.441E-6		
										4.942E+2	1.549E-5		
										4.945E+2	1.032E-5		
										4.949E+2	1.950E-5		
										4.952E+2	2.466E-5		
										4.956E+2	1.778E-5		
										4.960E+2	4.588E-6		
										4.963E+2	1.205E-5		
										4.967E+2	4.014E-6		
										4.970E+2	4.014E-6		
										4.974E+2	4.014E-6		
										4.977E+2	4.014E-6		
										4.981E+2	2.867E-6		
										4.984E+2	1.032E-5		
										4.988E+2	5.735E-7		
										4.991E+2	1.720E-6		
										4.995E+2	5.737E-6		
										4.998E+2	7.457E-6		
										5.002E+2	1.319E-5		
										5.005E+2	1.549E-5		
										5.009E+2	5.163E-6		
										5.012E+2	2.867E-6		
										5.016E+2	1.664E-5		
										5.019E+2	5.735E-7		
										5.023E+2	8.604E-6		
										5.026E+2	8.031E-6		
										5.030E+2	3.441E-6		
										5.034E+2	2.867E-6		
										5.037E+2	5.737E-6		
										5.040E+2	8.031E-6		
										5.044E+2	1.090E-5		
										5.048E+2	3.212E-5		
										5.051E+2	1.434E-5		
										5.055E+2	2.867E-6		
										5.058E+2	1.778E-5		
										5.062E+2	1.491E-5		
										5.065E+2	5.163E-6		
										5.069E+2	1.950E-5		
										5.072E+2	4.014E-6		
										5.076E+2	8.604E-6		
										5.079E+2	1.319E-5		
										5.083E+2	2.867E-6		
										5.086E+2	2.008E-5		
										5.090E+2	1.147E-6		
										5.093E+2	2.008E-5		
										5.097E+2	2.639E-5		
										5.100E+2	1.090E-5		
										5.104E+2	1.319E-5		
										5.107E+2	1.720E-6		
										5.111E+2	1.147E-6		
										5.114E+2	1.434E-5		
										5.118E+2	0.000E+0		
										5.121E+2	6.884E-6		
										5.125E+2	2.180E-5		
										5.128E+2	1.319E-5		
										5.132E+2	7.457E-6		
										5.135E+2	1.549E-5		
										5.139E+2	3.441E-6		
										5.142E+2	2.524E-5		
										5.146E+2	6.310E-6		
										5.149E+2	2.867E-6		
										5.153E+2	1.664E-5		
										5.156E+2	1.721E-5		
										5.160E+2	2.065E-5		
										5.163E+2	1.893E-5		
										5.167E+2	2.639E-5		
										5.170E+2	9.178E-6		
										5.174E+2	5.737E-6		
										5.177E+2	5.163E-6		
										5.181E+2	7.457E-6		
										5.184E+2	9.178E-6		
										5.188E+2	6.884E-6		
										5.191E+2	1.147E-5		
										5.195E+2	1.893E-5		
										5.198E+2	6.884E-6		
										5.202E+2	2.524E-5		
										5.205E+2	1.205E-5		
										5.209E+2	4.014E-6		
										5.212E+2	0.000E+0		
										5.216E+2	5.735E-7		
										5.219E+2	9.178E-6		
										5.223E+2	0.000E+0		
										5.226E+2	8.031E-6		
										5.230E+2	6.310E-6		
										5.233E+2	5.737E-6		
