Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)	NeV (V)	NeJ (mA/cm2))
5.240E+0	2.475E-4	5.691E-9	6.188E+0	2.790E-1	4.508E-3	2.702E-3	3.675E-3			3.954E+2	4.720E-6		
5.460E+0	2.921E-4	4.654E-9	7.303E+0	2.281E-1	3.124E-3	1.796E-3	2.547E-3			3.958E+2	3.371E-6		
5.680E+0	3.449E-4	4.439E-9	8.623E+0	2.176E-1	2.523E-3	1.395E-3	2.057E-3			3.961E+2	6.071E-6		
5.900E+0	4.033E-4	4.573E-9	1.008E+1	2.242E-1	2.223E-3	1.183E-3	1.813E-3			3.965E+2	6.742E-7		
6.120E+0	4.707E-4	5.926E-9	1.177E+1	2.905E-1	2.468E-3	1.266E-3	2.012E-3			3.969E+2	4.045E-6		
6.340E+0	5.452E-4	5.486E-9	1.363E+1	2.689E-1	1.973E-3	9.771E-4	1.608E-3			3.972E+2	1.753E-5		
6.560E+0	6.328E-4	5.572E-9	1.582E+1	2.731E-1	1.727E-3	8.265E-4	1.408E-3			3.976E+2	1.956E-5		
6.780E+0	7.302E-4	5.487E-9	1.826E+1	2.689E-1	1.473E-3	6.823E-4	1.201E-3			3.980E+2	1.686E-5		
7.000E+0	8.491E-4	6.250E-9	2.123E+1	3.064E-1	1.443E-3	6.474E-4	1.177E-3			3.983E+2	4.720E-6		
										3.987E+2	1.214E-5		
										3.990E+2	1.821E-5		
										3.994E+2	1.146E-5		
										3.998E+2	6.742E-7		
										4.001E+2	6.742E-7		
										4.005E+2	9.442E-6		
										4.009E+2	1.214E-5		
										4.012E+2	2.360E-5		
										4.016E+2	1.551E-5		
										4.020E+2	4.045E-6		
										4.023E+2	1.686E-5		
										4.027E+2	2.023E-6		
										4.030E+2	5.394E-6		
										4.034E+2	2.023E-5		
										4.038E+2	1.012E-5		
										4.041E+2	3.371E-6		
										4.045E+2	4.720E-6		
										4.049E+2	2.023E-6		
										4.052E+2	2.697E-6		
										4.056E+2	6.745E-6		
										4.059E+2	1.349E-5		
										4.063E+2	1.484E-5		
										4.067E+2	1.348E-6		
										4.070E+2	2.360E-5		
										4.074E+2	1.079E-5		
										4.077E+2	8.094E-6		
										4.081E+2	1.618E-5		
										4.085E+2	2.158E-5		
										4.088E+2	3.305E-5		
										4.092E+2	4.249E-5		
										4.095E+2	7.419E-6		
										4.099E+2	8.768E-6		
										4.103E+2	3.102E-5		
										4.106E+2	2.428E-5		
										4.110E+2	2.293E-5		
										4.114E+2	1.821E-5		
										4.117E+2	2.226E-5		
										4.121E+2	9.442E-6		
										4.125E+2	2.158E-5		
										4.128E+2	8.768E-6		
										4.132E+2	4.720E-6		
										4.135E+2	1.551E-5		
										4.139E+2	2.360E-5		
										4.142E+2	6.745E-6		
										4.146E+2	3.371E-6		
										4.150E+2	1.618E-5		
										4.153E+2	2.697E-6		
										4.157E+2	9.442E-6		
										4.161E+2	5.394E-6		
										4.164E+2	2.158E-5		
										4.168E+2	6.071E-6		
										4.171E+2	1.888E-5		
										4.175E+2	3.372E-5		
										4.179E+2	1.348E-6		
										4.182E+2	2.023E-6		
										4.186E+2	2.495E-5		
										4.189E+2	2.023E-6		
										4.193E+2	3.507E-5		
										4.197E+2	2.023E-6		
										4.200E+2	8.768E-6		
										4.204E+2	1.348E-6		
										4.208E+2	1.348E-6		
										4.211E+2	1.888E-5		
										4.215E+2	5.394E-6		
										4.218E+2	1.754E-5		
										4.222E+2	1.686E-5		
										4.225E+2	1.753E-5		
										4.229E+2	6.071E-6		
										4.233E+2	1.348E-6		
										4.236E+2	2.023E-6		
										4.240E+2	8.768E-6		
										4.244E+2	2.428E-5		
										4.247E+2	2.697E-6		
										4.251E+2	6.742E-7		
										4.254E+2	9.442E-6		
										4.258E+2	6.071E-6		
										4.261E+2	2.900E-5		
										4.265E+2	5.394E-6		
										4.269E+2	3.371E-6		
										4.272E+2	6.071E-6		
										4.276E+2	1.416E-5		
										4.280E+2	1.551E-5		
										4.283E+2	3.777E-5		
										4.287E+2	1.281E-5		
										4.290E+2	2.091E-5		
										4.294E+2	1.214E-5		
										4.298E+2	2.360E-5		
										4.301E+2	1.146E-5		
										4.305E+2	1.348E-6		
										4.308E+2	1.214E-5		
										4.312E+2	2.091E-5		
										4.315E+2	2.023E-6		
										4.319E+2	1.146E-5		
