Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)	NeV (V)	NeJ (mA/cm2))
-4.000E+0	1.339E-7	7.874E-10	3.349E-3	1.789E-1	5.342E+0	-4.194E+0	1.209E+0	2.297E-1	7.360E-1	3.801E+2	1.021E-5	-4.000E+0	
-3.760E+0	1.156E-7	7.588E-10	2.890E-3	1.724E-1	5.965E+0	-4.981E+0	1.350E+0			3.805E+2	1.392E-6		
-3.520E+0	1.019E-7	8.009E-10	2.547E-3	1.820E-1	7.144E+0	-6.373E+0	1.617E+0			3.809E+2	2.088E-5		
-3.280E+0	8.976E-8	7.444E-10	2.244E-3	1.691E-1	7.537E+0	-7.215E+0	1.705E+0			3.812E+2	1.345E-5		
-3.040E+0	7.898E-8	7.461E-10	1.975E-3	1.695E-1	8.585E+0	-8.868E+0	1.943E+0			3.816E+2	1.113E-5		
-2.800E+0	6.947E-8	8.140E-10	1.737E-3	1.849E-1	1.065E+1	-1.194E+1	2.410E+0			3.820E+2	3.711E-6		
-2.560E+0	6.079E-8	7.479E-10	1.520E-3	1.699E-1	1.118E+1	-1.371E+1	2.530E+0			3.823E+2	2.273E-5		
-2.320E+0	5.286E-8	8.288E-10	1.321E-3	1.883E-1	1.425E+1	-1.929E+1	3.225E+0			3.827E+2	2.319E-6		
-2.080E+0	4.586E-8	7.387E-10	1.147E-3	1.678E-1	1.464E+1	-2.210E+1	3.312E+0			3.830E+2	3.247E-6		
-1.840E+0	3.889E-8	8.857E-10	9.722E-4	2.012E-1	2.070E+1	-3.532E+1	4.684E+0			3.834E+2	8.815E-6		
-1.600E+0	3.262E-8	7.663E-10	8.154E-4	1.741E-1	2.135E+1	-4.190E+1	4.832E+0			3.838E+2	1.206E-5		
-1.360E+0	2.672E-8	8.218E-10	6.681E-4	1.867E-1	2.795E+1	-6.453E+1	6.324E+0			3.841E+2	1.855E-6		
-1.120E+0	2.131E-8	8.936E-10	5.328E-4	2.030E-1	3.810E+1	-1.068E+2	8.622E+0			3.845E+2	1.160E-5		
-8.800E-1	1.628E-8	7.781E-10	4.069E-4	1.768E-1	4.344E+1	-1.550E+2	9.830E+0			3.849E+2	1.021E-5		
-6.400E-1	1.149E-8	7.948E-10	2.872E-4	1.806E-1	6.287E+1	-3.084E+2	1.423E+1			3.852E+2	4.640E-6		
-4.000E-1	6.814E-9	7.860E-10	1.703E-4	1.786E-1	1.048E+2	-8.229E+2	2.372E+1			3.856E+2	1.345E-5		
-1.600E-1	2.414E-9	7.393E-10	6.036E-5	1.680E-1	2.783E+2	-5.462E+3	6.297E+1			3.860E+2	5.104E-6		
8.000E-2	1.773E-9	8.412E-10	4.432E-5	1.911E-1	4.313E+2	1.693E+4	9.759E+1			3.863E+2	1.392E-6		
3.200E-1	6.254E-9	8.569E-10	1.563E-4	1.947E-1	1.245E+2	1.222E+3	2.818E+1			3.867E+2	9.279E-6		
5.600E-1	1.072E-8	7.489E-10	2.680E-4	1.701E-1	6.350E+1	3.560E+2	1.437E+1			3.870E+2	1.855E-6		
8.000E-1	1.536E-8	7.700E-10	3.839E-4	1.750E-1	4.557E+1	1.789E+2	1.031E+1			3.874E+2	1.763E-5		
1.040E+0	2.011E-8	7.263E-10	5.027E-4	1.650E-1	3.283E+1	9.911E+1	7.428E+0			3.878E+2	2.319E-6		
1.280E+0	2.519E-8	8.368E-10	6.298E-4	1.901E-1	3.018E+1	7.405E+1	6.830E+0			3.881E+2	0.000E+0		
1.520E+0	3.074E-8	8.672E-10	7.685E-4	1.970E-1	2.564E+1	5.296E+1	5.801E+0			3.885E+2	1.485E-5		
1.760E+0	3.685E-8	8.052E-10	9.212E-4	1.829E-1	1.986E+1	3.543E+1	4.494E+0			3.889E+2	1.067E-5		
2.000E+0	4.555E-8	8.869E-10	1.139E-3	2.015E-1	1.769E+1	2.778E+1	4.004E+0			3.892E+2	1.763E-5		
2.240E+0	1.009E-7	1.078E-9	2.523E-3	2.449E-1	9.708E+0	1.361E+1	2.197E+0			3.896E+2	3.247E-6		
2.480E+0	5.395E-7	5.925E-9	1.349E-2	1.346E+0	9.981E+0	1.264E+1	2.259E+0			3.900E+2	3.711E-6		
2.720E+0	2.071E-6	2.838E-8	5.177E-2	6.448E+0	1.246E+1	1.438E+1	2.818E+0			3.903E+2	9.279E-6		
2.960E+0	5.013E-6	8.338E-8	1.253E-1	1.894E+1	1.512E+1	1.604E+1	3.421E+0			3.907E+2	9.277E-7		
3.200E+0	9.623E-6	1.656E-7	2.406E-1	3.762E+1	1.564E+1	1.535E+1	3.539E+0			3.911E+2	2.319E-6		
3.440E+0	1.633E-5	2.977E-7	4.084E-1	6.764E+1	1.656E+1	1.512E+1	3.748E+0			3.914E+2	4.640E-6		
3.680E+0	2.572E-5	4.922E-7	6.429E-1	1.118E+2	1.739E+1	1.484E+1	3.936E+0			3.918E+2	9.742E-6		
