Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)	NeV (V)	NeJ (mA/cm2))
-4.000E+0	6.147E-8	1.539E-9	1.537E-3	6.592E-2	4.290E+0	-3.368E+0	3.977E+0	6.916E-1	3.019E-1	3.801E+2	1.958E-5	-4.000E+0	
-3.760E+0	4.463E-8	1.336E-9	1.116E-3	5.724E-2	5.130E+0	-4.284E+0	4.756E+0			3.805E+2	1.224E-5		
-3.520E+0	3.749E-8	1.232E-9	9.373E-4	5.277E-2	5.630E+0	-5.022E+0	5.219E+0			3.809E+2	1.175E-5		
-3.280E+0	3.277E-8	1.714E-9	8.193E-4	7.343E-2	8.962E+0	-8.580E+0	8.308E+0			3.812E+2	1.028E-5		
-3.040E+0	2.928E-8	3.371E-10	7.320E-4	1.444E-2	1.973E+0	-2.037E+0	1.829E+0			3.816E+2	1.468E-5		
-2.800E+0	2.600E-8	1.511E-9	6.499E-4	6.472E-2	9.959E+0	-1.117E+1	9.232E+0			3.820E+2	1.077E-5		
-2.560E+0	2.323E-8	9.388E-10	5.807E-4	4.022E-2	6.926E+0	-8.495E+0	6.421E+0			3.823E+2	7.342E-6		
-2.320E+0	2.065E-8	1.039E-9	5.161E-4	4.451E-2	8.624E+0	-1.167E+1	7.994E+0			3.827E+2	4.406E-6		
-2.080E+0	1.821E-8	9.576E-10	4.551E-4	4.102E-2	9.013E+0	-1.361E+1	8.356E+0			3.830E+2	1.175E-5		
-1.840E+0	1.576E-8	9.972E-10	3.940E-4	4.272E-2	1.084E+1	-1.850E+1	1.005E+1			3.834E+2	1.909E-5		
-1.600E+0	1.360E-8	8.576E-10	3.400E-4	3.674E-2	1.081E+1	-2.121E+1	1.002E+1			3.838E+2	1.126E-5		
-1.360E+0	1.129E-8	1.065E-9	2.823E-4	4.562E-2	1.616E+1	-3.730E+1	1.498E+1			3.841E+2	3.425E-6		
-1.120E+0	9.042E-9	4.962E-10	2.260E-4	2.126E-2	9.404E+0	-2.636E+1	8.718E+0			3.845E+2	3.425E-6		
-8.800E-1	7.055E-9	8.796E-10	1.764E-4	3.768E-2	2.136E+1	-7.623E+1	1.980E+1			3.849E+2	1.028E-5		
-6.400E-1	5.079E-9	9.462E-10	1.270E-4	4.053E-2	3.192E+1	-1.566E+2	2.959E+1			3.852E+2	7.831E-6		
-4.000E-1	3.014E-9	1.194E-9	7.534E-5	5.114E-2	6.787E+1	-5.328E+2	6.292E+1			3.856E+2	3.915E-6		
-1.600E-1	9.792E-10	1.291E-9	2.448E-5	5.530E-2	2.259E+2	-4.434E+3	2.094E+2			3.860E+2	7.342E-6		
8.000E-2	1.012E-9	1.029E-9	2.529E-5	4.408E-2	1.743E+2	6.842E+3	1.616E+2			3.863E+2	8.321E-6		
3.200E-1	2.959E-9	9.851E-10	7.397E-5	4.220E-2	5.705E+1	5.598E+2	5.289E+1			3.867E+2	3.425E-6		
5.600E-1	4.895E-9	9.308E-10	1.224E-4	3.987E-2	3.258E+1	1.827E+2	3.021E+1			3.870E+2	4.406E-6		
8.000E-1	6.881E-9	1.323E-9	1.720E-4	5.668E-2	3.295E+1	1.293E+2	3.054E+1			3.874E+2	1.957E-6		
1.040E+0	8.833E-9	5.058E-11	2.208E-4	2.167E-3	9.812E-1	2.963E+0	9.096E-1			3.878E+2	9.787E-7		
1.280E+0	1.089E-8	9.301E-10	2.723E-4	3.984E-2	1.463E+1	3.590E+1	1.357E+1			3.881E+2	3.425E-6		
1.520E+0	1.448E-8	8.193E-10	3.620E-4	3.510E-2	9.696E+0	2.003E+1	8.988E+0			3.885E+2	1.419E-5		
1.760E+0	1.079E-7	1.459E-9	2.698E-3	6.249E-2	2.317E+0	4.133E+0	2.148E+0			3.889E+2	1.468E-6		
2.000E+0	5.265E-7	2.054E-9	1.316E-2	8.798E-2	6.684E-1	1.049E+0	6.196E-1			3.892E+2	2.252E-5		
2.240E+0	1.278E-6	4.513E-9	3.195E-2	1.933E-1	6.052E-1	8.483E-1	5.610E-1			3.896E+2	1.517E-5		
2.480E+0	2.352E-6	1.010E-8	5.880E-2	4.327E-1	7.359E-1	9.317E-1	6.822E-1			3.900E+2	4.893E-7		
2.720E+0	3.804E-6	1.456E-8	9.511E-2	6.235E-1	6.556E-1	7.568E-1	6.078E-1			3.903E+2	1.468E-6		
2.960E+0	5.705E-6	2.403E-8	1.426E-1	1.029E+0	7.218E-1	7.656E-1	6.691E-1			3.907E+2	7.831E-6		
3.200E+0	8.120E-6	3.606E-8	2.030E-1	1.545E+0	7.609E-1	7.466E-1	7.054E-1			3.911E+2	1.566E-5		
3.440E+0	1.114E-5	5.650E-8	2.784E-1	2.421E+0	8.693E-1	7.935E-1	8.059E-1			3.914E+2	9.787E-7		
3.680E+0	1.484E-5	7.583E-8	3.711E-1	3.249E+0	8.754E-1	7.469E-1	8.115E-1			3.918E+2	2.349E-5		
3.920E+0	1.933E-5	9.139E-8	4.832E-1	3.915E+0	8.102E-1	6.489E-1	7.510E-1			3.921E+2	6.363E-6		
4.160E+0	2.470E-5	1.360E-7	6.176E-1	5.825E+0	9.431E-1	7.119E-1	8.743E-1			3.925E+2	1.468E-6		
4.400E+0	3.110E-5	1.706E-7	7.775E-1	7.309E+0	9.401E-1	6.709E-1	8.715E-1			3.929E+2	1.762E-5		
4.640E+0	3.863E-5	2.189E-7	9.657E-1	9.376E+0	9.710E-1	6.571E-1	9.001E-1			3.932E+2	2.936E-6		
4.880E+0	4.744E-5	2.773E-7	1.186E+0	1.188E+1	1.002E+0	6.446E-1	9.287E-1			3.936E+2	2.252E-5		
