Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)	NeV (V)	NeJ (mA/cm2))
-4.000E+0	2.654E-6	1.656E-9	6.635E-2	7.951E-2	1.198E-1	-9.407E-2	9.959E-2	6.662E-1	3.242E-1	3.801E+2	1.149E-5	-4.000E+0	
-3.760E+0	2.061E-6	1.657E-9	5.153E-2	7.960E-2	1.545E-1	-1.290E-1	1.284E-1			3.805E+2	6.381E-6		
-3.520E+0	1.711E-6	1.628E-9	4.278E-2	7.819E-2	1.827E-1	-1.630E-1	1.519E-1			3.809E+2	4.255E-6		
-3.280E+0	1.453E-6	1.607E-9	3.633E-2	7.720E-2	2.125E-1	-2.034E-1	1.766E-1			3.812E+2	1.149E-5		
-3.040E+0	1.229E-6	1.618E-9	3.074E-2	7.773E-2	2.529E-1	-2.612E-1	2.102E-1			3.816E+2	1.276E-6		
-2.800E+0	9.694E-7	1.617E-9	2.423E-2	7.764E-2	3.204E-1	-3.593E-1	2.662E-1			3.820E+2	8.933E-6		
-2.560E+0	7.781E-7	1.639E-9	1.945E-2	7.870E-2	4.046E-1	-4.962E-1	3.362E-1			3.823E+2	8.508E-6		
-2.320E+0	6.189E-7	1.612E-9	1.547E-2	7.741E-2	5.003E-1	-6.772E-1	4.158E-1			3.827E+2	1.191E-5		
-2.080E+0	4.811E-7	1.563E-9	1.203E-2	7.505E-2	6.239E-1	-9.419E-1	5.185E-1			3.830E+2	1.702E-5		
-1.840E+0	3.739E-7	1.643E-9	9.348E-3	7.893E-2	8.443E-1	-1.441E+0	7.017E-1			3.834E+2	1.574E-5		
-1.600E+0	2.773E-7	1.576E-9	6.933E-3	7.569E-2	1.092E+0	-2.142E+0	9.072E-1			3.838E+2	4.253E-7		
-1.360E+0	1.970E-7	1.587E-9	4.924E-3	7.622E-2	1.548E+0	-3.574E+0	1.286E+0			3.841E+2	5.105E-6		
-1.120E+0	1.369E-7	1.608E-9	3.422E-3	7.723E-2	2.257E+0	-6.327E+0	1.875E+0			3.845E+2	5.531E-6		
-8.800E-1	8.876E-8	1.596E-9	2.219E-3	7.667E-2	3.455E+0	-1.233E+1	2.871E+0			3.849E+2	9.358E-6		
-6.400E-1	5.130E-8	1.551E-9	1.282E-3	7.448E-2	5.807E+0	-2.849E+1	4.826E+0			3.852E+2	1.914E-5		
-4.000E-1	2.555E-8	1.584E-9	6.388E-4	7.608E-2	1.191E+1	-9.349E+1	9.897E+0			3.856E+2	1.616E-5		
-1.600E-1	7.808E-9	1.575E-9	1.952E-4	7.563E-2	3.874E+1	-7.604E+2	3.220E+1			3.860E+2	2.127E-6		
8.000E-2	4.787E-9	1.598E-9	1.197E-4	7.675E-2	6.414E+1	2.517E+3	5.330E+1			3.863E+2	5.531E-6		
3.200E-1	2.000E-8	1.595E-9	5.001E-4	7.662E-2	1.532E+1	1.504E+2	1.273E+1			3.867E+2	1.957E-5		
5.600E-1	4.285E-8	1.597E-9	1.071E-3	7.671E-2	7.161E+0	4.015E+1	5.951E+0			3.870E+2	4.255E-6		
8.000E-1	8.182E-8	1.580E-9	2.045E-3	7.590E-2	3.711E+0	1.457E+1	3.084E+0			3.874E+2	3.829E-6		
1.040E+0	1.301E-7	1.548E-9	3.253E-3	7.435E-2	2.286E+0	6.901E+0	1.899E+0			3.878E+2	4.680E-6		
1.280E+0	1.906E-7	1.570E-9	4.764E-3	7.540E-2	1.583E+0	3.883E+0	1.315E+0			3.881E+2	8.082E-6		
1.520E+0	3.568E-7	1.635E-9	8.921E-3	7.853E-2	8.803E-1	1.819E+0	7.315E-1			3.885E+2	8.508E-6		
1.760E+0	5.712E-6	9.802E-9	1.428E-1	4.707E-1	3.296E-1	5.881E-1	2.739E-1			3.889E+2	8.506E-7		
2.000E+0	1.798E-4	5.028E-7	4.496E+0	2.415E+1	5.371E-1	8.432E-1	4.463E-1			3.892E+2	4.253E-7		
2.240E+0	1.287E-3	4.619E-6	3.219E+1	2.218E+2	6.893E-1	9.662E-1	5.728E-1			3.896E+2	0.000E+0		
2.480E+0	3.210E-3	1.225E-5	8.025E+1	5.882E+2	7.330E-1	9.281E-1	6.091E-1			3.900E+2	2.552E-6		
2.720E+0	5.535E-3	2.136E-5	1.384E+2	1.026E+3	7.415E-1	8.560E-1	6.162E-1			3.903E+2	1.914E-5		
2.960E+0	8.129E-3	3.126E-5	2.032E+2	1.501E+3	7.387E-1	7.836E-1	6.139E-1			3.907E+2	7.232E-6		
3.200E+0	1.094E-2	4.163E-5	2.734E+2	1.999E+3	7.313E-1	7.176E-1	6.077E-1			3.911E+2	9.358E-6		
3.440E+0	1.392E-2	5.229E-5	3.480E+2	2.511E+3	7.216E-1	6.587E-1	5.997E-1			3.914E+2	1.404E-5		
3.680E+0	1.707E-2	6.321E-5	4.268E+2	3.036E+3	7.112E-1	6.068E-1	5.910E-1			3.918E+2	1.063E-5		
3.920E+0	2.036E-2	7.423E-5	5.090E+2	3.565E+3	7.005E-1	5.611E-1	5.821E-1			3.921E+2	3.402E-6		
4.160E+0	2.377E-2	8.530E-5	5.941E+2	4.096E+3	6.895E-1	5.204E-1	5.730E-1			3.925E+2	5.956E-6		
4.400E+0	2.728E-2	9.638E-5	6.821E+2	4.629E+3	6.786E-1	4.843E-1	5.640E-1			3.929E+2	5.531E-6		
4.640E+0	3.091E-2	1.074E-4	7.726E+2	5.158E+3	6.676E-1	4.518E-1	5.548E-1			3.932E+2	8.508E-6		
4.880E+0	3.459E-2	1.185E-4	8.648E+2	5.689E+3	6.579E-1	4.233E-1	5.467E-1			3.936E+2	8.506E-7		
5.120E+0	3.838E-2	1.295E-4	9.596E+2	6.218E+3	6.480E-1	3.974E-1	5.385E-1			3.940E+2	1.701E-6		
5.360E+0	4.225E-2	1.405E-4	1.056E+3	6.746E+3	6.386E-1	3.741E-1	5.307E-1			3.943E+2	1.021E-5		
5.600E+0	4.619E-2	1.515E-4	1.155E+3	7.275E+3	6.300E-1	3.533E-1	5.236E-1			3.947E+2	1.319E-5		
5.840E+0	5.020E-2	1.625E-4	1.255E+3	7.806E+3	6.220E-1	3.345E-1	5.169E-1			3.950E+2	2.127E-6		
6.080E+0	5.428E-2	1.736E-4	1.357E+3	8.338E+3	6.145E-1	3.173E-1	5.106E-1			3.954E+2	1.149E-5		
6.320E+0	5.844E-2	1.847E-4	1.461E+3	8.871E+3	6.072E-1	3.017E-1	5.046E-1			3.958E+2	1.234E-5		
6.560E+0	6.266E-2	1.959E-4	1.567E+3	9.407E+3	6.005E-1	2.874E-1	4.990E-1			3.961E+2	3.829E-6		
6.800E+0	6.695E-2	2.071E-4	1.674E+3	9.944E+3	5.942E-1	2.744E-1	4.938E-1			3.965E+2	5.105E-6		
7.040E+0	7.130E-2	2.183E-4	1.782E+3	1.048E+4	5.881E-1	2.623E-1	4.887E-1			3.969E+2	1.829E-5		
7.280E+0	7.575E-2	2.296E-4	1.894E+3	1.102E+4	5.822E-1	2.511E-1	4.838E-1			3.972E+2	1.021E-5		
7.520E+0	8.027E-2	2.408E-4	2.007E+3	1.157E+4	5.764E-1	2.407E-1	4.790E-1			3.976E+2	4.253E-7		
7.760E+0	8.477E-2	2.518E-4	2.119E+3	1.209E+4	5.706E-1	2.309E-1	4.742E-1			3.980E+2	1.701E-6		
8.000E+0	8.909E-2	2.621E-4	2.227E+3	1.259E+4	5.652E-1	2.218E-1	4.697E-1			3.983E+2	8.508E-6		
										3.987E+2	1.531E-5		
										3.990E+2	1.021E-5		
										3.994E+2	1.106E-5		
										3.998E+2	1.063E-5		
										4.001E+2	1.063E-5		
										4.005E+2	5.531E-6		
										4.009E+2	2.552E-6		
										4.012E+2	6.807E-6		
										4.016E+2	1.319E-5		
										4.020E+2	4.680E-6		
										4.023E+2	9.784E-6		
										4.027E+2	1.063E-5		
										4.030E+2	2.552E-6		
										4.034E+2	1.574E-5		
										4.038E+2	1.659E-5		
										4.041E+2	5.531E-6		
										4.045E+2	2.127E-6		
										4.049E+2	0.000E+0		
										4.052E+2	6.807E-6		
										4.056E+2	5.956E-6		
										4.059E+2	7.657E-6		
										4.063E+2	4.255E-6		
										4.067E+2	2.977E-6		
										4.070E+2	1.319E-5		
										4.074E+2	3.402E-6		
										4.077E+2	4.255E-6		
										4.081E+2	1.361E-5		
										4.085E+2	1.063E-5		
										4.088E+2	4.253E-7		
										4.092E+2	2.085E-5		
										4.095E+2	1.999E-5		
										4.099E+2	1.872E-5		
										4.103E+2	1.446E-5		
										4.106E+2	6.807E-6		
										4.110E+2	1.744E-5		
										4.114E+2	2.212E-5		
										4.117E+2	5.956E-6		
										4.121E+2	1.872E-5		
										4.125E+2	6.381E-6		
										4.128E+2	1.701E-6		
										4.132E+2	2.977E-6		
										4.135E+2	5.956E-6		
										4.139E+2	6.381E-6		
										4.142E+2	5.956E-6		
										4.146E+2	2.977E-6		
										4.150E+2	1.787E-5		
										4.153E+2	1.361E-5		
										4.157E+2	2.552E-6		
										4.161E+2	1.319E-5		
										4.164E+2	2.638E-5		
										4.168E+2	1.149E-5		
										4.171E+2	4.680E-6		
										4.175E+2	8.506E-7		
										4.179E+2	2.850E-5		
										4.182E+2	1.829E-5		
										4.186E+2	1.404E-5		
										4.189E+2	2.042E-5		
										4.193E+2	2.765E-5		
										4.197E+2	1.872E-5		
										4.200E+2	3.105E-5		
										4.204E+2	2.552E-5		
										4.208E+2	1.191E-5		
										4.211E+2	1.149E-5		
										4.215E+2	1.914E-5		
										4.218E+2	2.765E-5		
										4.222E+2	3.701E-5		
										4.225E+2	1.531E-5		
										4.229E+2	2.085E-5		
										4.233E+2	2.638E-5		
										4.236E+2	3.318E-5		
										4.240E+2	2.297E-5		
										4.244E+2	3.063E-5		
										4.247E+2	3.318E-5		
										4.251E+2	2.680E-5		
										4.254E+2	2.850E-5		
										4.258E+2	2.978E-5		
										4.261E+2	4.722E-5		
										4.265E+2	5.105E-5		
										4.269E+2	4.509E-5		
										4.272E+2	3.531E-5		
										4.276E+2	4.297E-5		
										4.280E+2	3.616E-5		
										4.283E+2	3.658E-5		
										4.287E+2	4.212E-5		
										4.290E+2	3.956E-5		
										4.294E+2	5.360E-5		
										4.298E+2	2.680E-5		
										4.301E+2	4.935E-5		
										4.305E+2	4.594E-5		
										4.308E+2	4.126E-5		
										4.312E+2	4.212E-5		
										4.315E+2	2.255E-5		
										4.319E+2	4.297E-5		
										4.323E+2	4.892E-5		
										4.326E+2	2.935E-5		
										4.330E+2	5.615E-5		
