Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)	NeV (V)	NeJ (mA/cm2))
-4.000E+0	4.457E-7	5.548E-10	1.114E-2	2.720E-2	2.441E-1	-1.916E-1	1.990E-1	6.900E-1	3.057E-1	3.801E+2	1.214E-5	-4.000E+0	
-3.760E+0	3.409E-7	5.664E-10	8.522E-3	2.776E-2	3.258E-1	-2.721E-1	2.656E-1			3.805E+2	3.371E-6		
-3.520E+0	2.808E-7	5.658E-10	7.021E-3	2.773E-2	3.950E-1	-3.524E-1	3.220E-1			3.809E+2	1.146E-5		
-3.280E+0	2.282E-7	5.620E-10	5.704E-3	2.755E-2	4.829E-1	-4.623E-1	3.937E-1			3.812E+2	1.821E-5		
-3.040E+0	1.796E-7	5.594E-10	4.491E-3	2.742E-2	6.106E-1	-6.306E-1	4.977E-1			3.816E+2	8.094E-6		
-2.800E+0	1.467E-7	5.664E-10	3.669E-3	2.777E-2	7.568E-1	-8.487E-1	6.170E-1			3.820E+2	1.079E-5		
-2.560E+0	1.164E-7	5.585E-10	2.911E-3	2.738E-2	9.404E-1	-1.153E+0	7.667E-1			3.823E+2	3.371E-6		
-2.320E+0	9.453E-8	5.675E-10	2.363E-3	2.782E-2	1.177E+0	-1.593E+0	9.596E-1			3.827E+2	2.023E-5		
-2.080E+0	7.276E-8	5.399E-10	1.819E-3	2.646E-2	1.455E+0	-2.196E+0	1.186E+0			3.830E+2	6.071E-6		
-1.840E+0	5.511E-8	5.370E-10	1.378E-3	2.632E-2	1.911E+0	-3.260E+0	1.558E+0			3.834E+2	3.035E-5		
-1.600E+0	4.060E-8	5.512E-10	1.015E-3	2.702E-2	2.662E+0	-5.224E+0	2.170E+0			3.838E+2	8.094E-6		
-1.360E+0	2.918E-8	5.603E-10	7.296E-4	2.747E-2	3.764E+0	-8.692E+0	3.069E+0			3.841E+2	3.237E-5		
-1.120E+0	2.023E-8	5.341E-10	5.057E-4	2.618E-2	5.177E+0	-1.451E+1	4.221E+0			3.845E+2	2.023E-6		
-8.800E-1	1.292E-8	5.417E-10	3.229E-4	2.655E-2	8.224E+0	-2.934E+1	6.705E+0			3.849E+2	1.079E-5		
-6.400E-1	6.966E-9	5.430E-10	1.741E-4	2.661E-2	1.528E+1	-7.498E+1	1.246E+1			3.852E+2	3.371E-6		
-4.000E-1	1.917E-9	5.428E-10	4.794E-5	2.661E-2	5.550E+1	-4.357E+2	4.525E+1			3.856E+2	1.146E-5		
-1.600E-1	1.890E-9	5.559E-10	4.724E-5	2.725E-2	5.768E+1	-1.132E+3	4.703E+1			3.860E+2	2.967E-5		
8.000E-2	5.015E-9	5.377E-10	1.254E-4	2.636E-2	2.102E+1	8.251E+2	1.714E+1			3.863E+2	2.023E-5		
3.200E-1	8.391E-9	5.491E-10	2.098E-4	2.692E-2	1.283E+1	1.259E+2	1.046E+1			3.867E+2	3.371E-6		
5.600E-1	1.282E-8	5.484E-10	3.206E-4	2.688E-2	8.384E+0	4.701E+1	6.835E+0			3.870E+2	3.371E-6		
