Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)	NeV (V)	NeJ (mA/cm2))
-4.000E+0	8.286E-5	7.133E-9	2.071E+0	3.461E-1	1.671E-2	-1.312E-2	1.375E-2	6.883E-1	3.080E-1	3.801E+2	6.310E-6	-4.000E+0	
-3.760E+0	6.653E-5	7.159E-9	1.663E+0	3.474E-1	2.089E-2	-1.744E-2	1.719E-2			3.805E+2	3.269E-5		
-3.520E+0	5.311E-5	7.144E-9	1.328E+0	3.467E-1	2.611E-2	-2.329E-2	2.148E-2			3.809E+2	2.867E-6		
-3.280E+0	3.924E-5	7.156E-9	9.811E-1	3.472E-1	3.539E-2	-3.388E-2	2.912E-2			3.812E+2	6.884E-6		
-3.040E+0	3.031E-5	7.157E-9	7.577E-1	3.473E-1	4.583E-2	-4.734E-2	3.771E-2			3.816E+2	5.163E-6		
-2.800E+0	2.392E-5	7.167E-9	5.980E-1	3.478E-1	5.815E-2	-6.521E-2	4.784E-2			3.820E+2	9.178E-6		
-2.560E+0	1.907E-5	7.173E-9	4.767E-1	3.481E-1	7.302E-2	-8.956E-2	6.007E-2			3.823E+2	1.147E-5		
-2.320E+0	1.488E-5	7.198E-9	3.719E-1	3.493E-1	9.393E-2	-1.271E-1	7.728E-2			3.827E+2	1.836E-5		
-2.080E+0	1.200E-5	7.179E-9	3.000E-1	3.484E-1	1.161E-1	-1.753E-1	9.553E-2			3.830E+2	1.319E-5		
-1.840E+0	9.668E-6	7.172E-9	2.417E-1	3.480E-1	1.440E-1	-2.457E-1	1.185E-1			3.834E+2	1.147E-5		
-1.600E+0	7.659E-6	7.168E-9	1.915E-1	3.479E-1	1.817E-1	-3.565E-1	1.495E-1			3.838E+2	2.867E-6		
-1.360E+0	6.136E-6	7.157E-9	1.534E-1	3.473E-1	2.264E-1	-5.228E-1	1.863E-1			3.841E+2	5.735E-7		
-1.120E+0	4.917E-6	7.166E-9	1.229E-1	3.477E-1	2.829E-1	-7.931E-1	2.327E-1			3.845E+2	1.664E-5		
-8.800E-1	3.947E-6	7.186E-9	9.868E-2	3.487E-1	3.534E-1	-1.261E+0	2.907E-1			3.849E+2	1.319E-5		
-6.400E-1	2.905E-6	7.192E-9	7.262E-2	3.490E-1	4.806E-1	-2.358E+0	3.954E-1			3.852E+2	9.178E-6		
-4.000E-1	1.859E-6	7.167E-9	4.646E-2	3.478E-1	7.485E-1	-5.876E+0	6.158E-1			3.856E+2	4.014E-6		
-1.600E-1	7.910E-7	7.193E-9	1.978E-2	3.490E-1	1.765E+0	-3.464E+1	1.452E+0			3.860E+2	1.664E-5		
8.000E-2	5.456E-7	7.176E-9	1.364E-2	3.482E-1	2.553E+0	1.002E+2	2.100E+0			3.863E+2	2.696E-5		
3.200E-1	2.756E-6	7.165E-9	6.890E-2	3.477E-1	5.046E-1	4.952E+0	4.152E-1			3.867E+2	9.178E-6		
5.600E-1	5.642E-6	7.188E-9	1.410E-1	3.488E-1	2.473E-1	1.387E+0	2.035E-1			3.870E+2	2.294E-6		
8.000E-1	9.087E-6	7.176E-9	2.272E-1	3.482E-1	1.533E-1	6.016E-1	1.261E-1			3.874E+2	1.893E-5		
1.040E+0	1.299E-5	7.177E-9	3.247E-1	3.483E-1	1.073E-1	3.238E-1	8.824E-2			3.878E+2	1.032E-5		
1.280E+0	1.840E-5	7.177E-9	4.599E-1	3.483E-1	7.573E-2	1.858E-1	6.231E-2			3.881E+2	2.294E-6		
1.520E+0	2.323E-5	7.188E-9	5.808E-1	3.488E-1	6.006E-2	1.241E-1	4.942E-2			3.885E+2	1.606E-5		
1.760E+0	2.360E-5	1.416E-8	5.899E-1	6.873E-1	1.165E-1	2.079E-1	9.586E-2			3.889E+2	2.294E-5		
2.000E+0	2.848E-5	4.457E-7	7.121E-1	2.163E+1	3.037E+0	4.768E+0	2.499E+0			3.892E+2	0.000E+0		
2.240E+0	1.554E-4	1.051E-5	3.885E+0	5.100E+2	1.313E+1	1.840E+1	1.080E+1			3.896E+2	1.319E-5		
2.480E+0	6.401E-4	5.290E-5	1.600E+1	2.567E+3	1.604E+1	2.031E+1	1.320E+1			3.900E+2	4.588E-6		
2.720E+0	1.460E-3	1.247E-4	3.650E+1	6.051E+3	1.658E+1	1.914E+1	1.364E+1			3.903E+2	1.778E-5		
2.960E+0	2.494E-3	2.148E-4	6.236E+1	1.042E+4	1.671E+1	1.773E+1	1.375E+1			3.907E+2	1.147E-6		
3.200E+0	3.685E-3	3.164E-4	9.212E+1	1.536E+4	1.667E+1	1.636E+1	1.372E+1			3.911E+2	2.065E-5		
3.440E+0	4.983E-3	4.270E-4	1.246E+2	2.072E+4	1.664E+1	1.518E+1	1.369E+1			3.914E+2	7.457E-6		
3.680E+0	6.395E-3	5.437E-4	1.599E+2	2.639E+4	1.650E+1	1.408E+1	1.358E+1			3.918E+2	3.441E-6		
3.920E+0	7.898E-3	6.650E-4	1.975E+2	3.227E+4	1.634E+1	1.309E+1	1.345E+1			3.921E+2	1.893E-5		
4.160E+0	9.480E-3	7.896E-4	2.370E+2	3.831E+4	1.617E+1	1.220E+1	1.330E+1			3.925E+2	1.147E-5		
4.400E+0	1.115E-2	9.148E-4	2.786E+2	4.439E+4	1.593E+1	1.137E+1	1.311E+1			3.929E+2	9.751E-6		
4.640E+0	1.288E-2	1.042E-3	3.220E+2	5.059E+4	1.571E+1	1.063E+1	1.293E+1			3.932E+2	2.294E-6		
4.880E+0	1.470E-2	1.172E-3	3.674E+2	5.689E+4	1.548E+1	9.963E+0	1.274E+1			3.936E+2	1.549E-5		
5.120E+0	1.658E-2	1.302E-3	4.146E+2	6.319E+4	1.524E+1	9.348E+0	1.254E+1			3.940E+2	1.778E-5		
5.360E+0	1.853E-2	1.431E-3	4.632E+2	6.945E+4	1.499E+1	8.784E+0	1.234E+1			3.943E+2	9.751E-6		
5.600E+0	2.054E-2	1.562E-3	5.136E+2	7.579E+4	1.476E+1	8.275E+0	1.214E+1			3.947E+2	2.524E-5		
5.840E+0	2.263E-2	1.695E-3	5.658E+2	8.225E+4	1.454E+1	7.816E+0	1.196E+1			3.950E+2	4.130E-5		
6.080E+0	2.478E-2	1.828E-3	6.195E+2	8.869E+4	1.432E+1	7.393E+0	1.178E+1			3.954E+2	4.014E-6		
6.320E+0	2.699E-2	1.961E-3	6.748E+2	9.518E+4	1.410E+1	7.007E+0	1.160E+1			3.958E+2	2.237E-5		
6.560E+0	2.927E-2	2.096E-3	7.318E+2	1.017E+5	1.390E+1	6.653E+0	1.143E+1			3.961E+2	2.065E-5		
6.800E+0	3.161E-2	2.231E-3	7.901E+2	1.083E+5	1.370E+1	6.328E+0	1.128E+1			3.965E+2	1.032E-5		
7.040E+0	3.400E-2	2.369E-3	8.500E+2	1.150E+5	1.352E+1	6.032E+0	1.113E+1			3.969E+2	1.032E-5		
7.280E+0	3.646E-2	2.507E-3	9.115E+2	1.217E+5	1.335E+1	5.757E+0	1.098E+1			3.972E+2	2.867E-6		
7.520E+0	3.897E-2	2.646E-3	9.743E+2	1.284E+5	1.318E+1	5.504E+0	1.084E+1			3.976E+2	5.737E-6		
7.760E+0	4.158E-2	2.787E-3	1.039E+3	1.353E+5	1.301E+1	5.266E+0	1.071E+1			3.980E+2	1.377E-5		
8.000E+0	4.425E-2	2.930E-3	1.106E+3	1.422E+5	1.285E+1	5.045E+0	1.058E+1			3.983E+2	1.606E-5		
										3.987E+2	2.639E-5		
										3.990E+2	1.377E-5		
										3.994E+2	9.751E-6		
										3.998E+2	2.639E-5		
										4.001E+2	2.409E-5		
										4.005E+2	1.721E-5		
										4.009E+2	5.737E-6		
										4.012E+2	1.720E-6		
										4.016E+2	1.147E-6		
										4.020E+2	1.720E-6		
										4.023E+2	5.163E-6		
										4.027E+2	8.604E-6		
										4.030E+2	5.737E-6		
										4.034E+2	4.014E-6		
										4.038E+2	9.178E-6		
										4.041E+2	1.549E-5		
										4.045E+2	1.491E-5		
										4.049E+2	1.664E-5		
										4.052E+2	4.014E-6		
										4.056E+2	6.310E-6		
										4.059E+2	3.441E-6		
										4.063E+2	7.457E-6		
										4.067E+2	1.319E-5		
										4.070E+2	1.147E-6		
										4.074E+2	1.205E-5		
										4.077E+2	2.409E-5		
										4.081E+2	1.950E-5		
										4.085E+2	1.205E-5		
										4.088E+2	2.294E-6		
										4.092E+2	6.310E-6		
										4.095E+2	1.664E-5		
										4.099E+2	1.147E-6		
										4.103E+2	1.664E-5		
										4.106E+2	5.737E-6		
										4.110E+2	9.751E-6		
										4.114E+2	1.319E-5		
										4.117E+2	4.588E-6		
										4.121E+2	5.737E-6		
										4.125E+2	2.352E-5		
										4.128E+2	7.457E-6		
										4.132E+2	6.884E-6		
										4.135E+2	6.310E-6		
										4.139E+2	9.178E-6		
										4.142E+2	2.696E-5		
										4.146E+2	2.581E-5		
										4.150E+2	4.588E-6		
										4.153E+2	1.147E-6		
										4.157E+2	4.014E-6		
										4.161E+2	1.032E-5		
										4.164E+2	2.581E-5		
										4.168E+2	4.588E-6		
										4.171E+2	5.735E-7		
										4.175E+2	5.735E-7		
										4.179E+2	1.434E-5		
										4.182E+2	2.065E-5		
										4.186E+2	1.491E-5		
										4.189E+2	1.147E-6		
										4.193E+2	1.664E-5		
										4.197E+2	2.409E-5		
										4.200E+2	9.178E-6		
										4.204E+2	1.090E-5		
										4.208E+2	1.205E-5		
										4.211E+2	3.155E-5		
										4.215E+2	3.441E-6		
										4.218E+2	1.262E-5		
										4.222E+2	1.950E-5		
										4.225E+2	1.491E-5		
										4.229E+2	5.737E-6		
										4.233E+2	1.491E-5		
										4.236E+2	9.178E-6		
										4.240E+2	5.735E-7		
										4.244E+2	8.031E-6		
										4.247E+2	4.588E-6		
										4.251E+2	6.310E-6		
										4.254E+2	8.031E-6		
										4.258E+2	1.721E-5		
										4.261E+2	3.958E-5		
										4.265E+2	6.884E-6		
										4.269E+2	3.441E-6		
										4.272E+2	1.950E-5		
										4.276E+2	7.457E-6		
										4.280E+2	1.491E-5		
										4.283E+2	1.778E-5		
										4.287E+2	2.122E-5		
										4.290E+2	1.720E-6		
										4.294E+2	8.604E-6		
										4.298E+2	3.441E-6		
										4.301E+2	5.737E-6		
										4.305E+2	5.737E-6		
										4.308E+2	2.294E-6		
										4.312E+2	3.441E-6		
										4.315E+2	2.352E-5		
										4.319E+2	1.319E-5		
										4.323E+2	1.549E-5		
										4.326E+2	1.319E-5		
										4.330E+2	8.031E-6		
										4.333E+2	2.753E-5		
										4.337E+2	4.014E-6		
										4.341E+2	5.735E-7		
										4.344E+2	5.163E-6		
										4.348E+2	1.147E-5		
										4.351E+2	8.031E-6		
										4.355E+2	6.884E-6		
										4.359E+2	7.457E-6		
										4.362E+2	1.549E-5		
										4.366E+2	5.735E-7		
