Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)	NeV (V)	NeJ (mA/cm2))
-4.000E+0	1.016E-6	1.828E-9	2.539E-2	8.712E-2	3.432E-1	-2.694E-1	2.875E-1	6.877E-1	3.055E-1	3.801E+2	5.617E-6	-4.000E+0	
-3.760E+0	7.354E-7	2.225E-9	1.839E-2	1.060E-1	5.768E-1	-4.817E-1	4.832E-1			3.805E+2	1.123E-5		
-3.520E+0	6.475E-7	2.249E-9	1.619E-2	1.072E-1	6.624E-1	-5.909E-1	5.549E-1			3.809E+2	8.985E-6		
-3.280E+0	4.876E-7	2.218E-9	1.219E-2	1.057E-1	8.672E-1	-8.302E-1	7.265E-1			3.812E+2	2.246E-6		
-3.040E+0	4.211E-7	2.239E-9	1.053E-2	1.067E-1	1.014E+0	-1.047E+0	8.492E-1			3.816E+2	1.292E-5		
-2.800E+0	3.396E-7	2.258E-9	8.490E-3	1.076E-1	1.268E+0	-1.421E+0	1.062E+0			3.820E+2	6.178E-6		
-2.560E+0	2.870E-7	2.215E-9	7.174E-3	1.056E-1	1.472E+0	-1.805E+0	1.233E+0			3.823E+2	7.301E-6		
-2.320E+0	2.451E-7	2.271E-9	6.127E-3	1.082E-1	1.767E+0	-2.391E+0	1.480E+0			3.827E+2	3.369E-6		
-2.080E+0	1.908E-7	2.242E-9	4.770E-3	1.069E-1	2.240E+0	-3.382E+0	1.877E+0			3.830E+2	0.000E+0		
-1.840E+0	1.541E-7	2.250E-9	3.853E-3	1.072E-1	2.783E+0	-4.750E+0	2.332E+0			3.834E+2	1.853E-5		
-1.600E+0	1.195E-7	2.246E-9	2.987E-3	1.070E-1	3.584E+0	-7.033E+0	3.002E+0			3.838E+2	8.424E-6		
